epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1377.08,0.50312,1.21753,1.15597,0.80406,0.62647,0.72811,0.4796,1.25554,2.20599,1.70325,0.000662393,0.000662393,0.000662393
2,2923.33,0.47619,0.77001,1.11862,0.73989,0.51507,0.6259,0.43372,1.34942,1.88684,1.70788,0.00126327,0.00126327,0.00126327
3,4412.9,0.48333,0.701,1.1328,0.86906,0.72198,0.82895,0.71682,0.68348,0.98807,0.90507,0.00179815,0.00179815,0.00179815
4,5880.02,0.46643,0.64333,1.11297,0.87642,0.72346,0.8307,0.6486,0.92741,1.02081,1.09212,0.001703,0.001703,0.001703
5,7244.75,0.40905,0.57431,1.07075,0.96626,0.71317,0.8579,0.75659,0.67228,0.76092,0.91421,0.001604,0.001604,0.001604
6,8559.23,0.39894,0.53135,1.06584,0.87595,0.80472,0.88641,0.76,0.6147,0.83469,0.80619,0.001505,0.001505,0.001505
7,9918.53,0.35182,0.47931,1.03818,0.91884,0.87549,0.93673,0.85599,0.52864,0.61562,0.7267,0.001406,0.001406,0.001406
8,11262.8,0.34376,0.46764,1.03879,0.92986,0.81651,0.91484,0.82437,0.56429,0.73004,0.74893,0.001307,0.001307,0.001307
9,12618,0.31484,0.41342,1.01373,0.91141,0.89646,0.94471,0.86093,0.50268,0.59258,0.67281,0.001208,0.001208,0.001208
10,13949.5,0.3057,0.40887,1.00809,0.92338,0.85714,0.92248,0.8516,0.44651,0.57947,0.64703,0.001109,0.001109,0.001109
11,15290,0.3101,0.40281,1.05063,0.93146,0.88729,0.94933,0.87863,0.43696,0.56577,0.6275,0.00101,0.00101,0.00101
12,16663.6,0.28703,0.33003,1.02554,0.85218,0.7858,0.85995,0.78902,0.55958,0.88535,0.76945,0.000911,0.000911,0.000911
13,18034,0.27282,0.31562,1.00893,0.92958,0.91088,0.95579,0.87599,0.51282,0.55655,0.70874,0.000812,0.000812,0.000812
14,19364.6,0.27218,0.31164,1.01403,0.93452,0.9135,0.95868,0.89391,0.40809,0.52541,0.59496,0.000713,0.000713,0.000713
15,20679.9,0.25641,0.28336,1.00611,0.97354,0.91606,0.96597,0.89762,0.43955,0.50622,0.62865,0.000614,0.000614,0.000614
16,21993.6,0.24013,0.25477,0.99027,0.97202,0.9105,0.96911,0.90261,0.44845,0.53455,0.65369,0.000515,0.000515,0.000515
17,23454.8,0.22759,0.23729,0.97509,0.95402,0.92456,0.96703,0.90703,0.42761,0.52121,0.64279,0.000416,0.000416,0.000416
18,24830.3,0.21606,0.22916,0.97337,0.96176,0.92301,0.96317,0.90742,0.43137,0.53999,0.63738,0.000317,0.000317,0.000317
19,26253.9,0.19878,0.21591,0.96305,0.96739,0.93314,0.96578,0.91474,0.40357,0.52057,0.62105,0.000218,0.000218,0.000218
20,27626.5,0.19187,0.19996,0.95504,0.97121,0.92843,0.97058,0.92011,0.39558,0.49775,0.61128,0.000119,0.000119,0.000119
